Invoice ID,Invoice Name,Invoice Description,Invoice Amount,Invoice Date,Department,Project Name,Project Stage,Vendor Name,Recurring Expense?,Useful Life Expectancy,True Value,Record Owner
I-0180,Financial Reporting Consultant,GAAP compliance consultant,9800,7/25/2025,Finance/Accounting,Downtown Office Tower,Planning,Financial Reporting Specialists,FALSE,1,OpEx,
I-0181,Cybersecurity Software,Advanced threat protection system,22000,7/28/2025,Information Technology (IT),AI Software Development,Execution,Palo Alto Networks,FALSE,3,CapEx,
I-0182,Employee Engagement Survey,Annual workplace satisfaction assessment,7200,7/30/2025,Human Resources (HR),Employee Training Initiative,Planning,Engagement Analytics,TRUE,1,OpEx,
I-0183,Brand Identity Refresh,Logo and brand guidelines update,19000,8/1/2025,Marketing,Downtown Office Tower,Planning,Brand Identity Partners,FALSE,3,CapEx,
I-0184,Sales Dashboard Development,Performance visualization tool,13500,8/3/2025,Sales,AI Software Development,Execution,Dashboard Solutions,FALSE,3,CapEx,
I-0185,Building Insulation Upgrade,Energy-efficient insulation installation,28000,8/5/2025,Operations,Downtown Office Tower,Execution,Insulation Pros,FALSE,15,CapEx,
I-0186,Financial Risk Assessment,Annual risk evaluation and mitigation planning,14000,8/8/2025,Finance/Accounting,Downtown Office Tower,Planning,Risk Management Associates,TRUE,1,OpEx,
I-0187,IT Help Desk Software,Ticket management system,16000,8/10/2025,Information Technology (IT),AI Software Development,Execution,ServiceNow,FALSE,4,CapEx,
I-0188,Compensation Analysis,Market salary comparison study,8500,8/12/2025,Human Resources (HR),Downtown Office Tower,Planning,Compensation Consultants,FALSE,1,OpEx,
I-0189,Content Management System,Website content management platform,21000,8/15/2025,Marketing,AI Software Development,Execution,WordPress Enterprise,FALSE,4,CapEx,
I-0190,Sales Pipeline Software,Opportunity tracking and forecasting tool,15000,8/18/2025,Sales,AI Software Development,Planning,Pipeline Analytics,FALSE,3,CapEx,
I-0191,HVAC Performance Optimization,System efficiency tuning and calibration,9500,8/20/2025,Operations,HVAC System Upgrade,Completion,Performance Optimization Inc.,FALSE,1,OpEx,
I-0192,Patent Application Filing,Legal protection for new innovation,12000,8/22/2025,Legal,AI Software Development,Planning,Patent Law Group,FALSE,1,OpEx,
I-0193,Customer Feedback Analysis,Data analysis of customer survey results,7800,8/25/2025,Customer Service,AI Software Development,Planning,Feedback Analytics,FALSE,1,OpEx,
I-0194,Roof Inspection Drone,Aerial inspection equipment,6500,8/28/2025,Operations,Annual Roof Inspection,Planning,Drone Solutions,FALSE,3,CapEx,
I-0195,Internal Audit Software,Compliance and risk management tool,18000,8/30/2025,Finance/Accounting,AI Software Development,Execution,Audit Software Inc.,FALSE,4,CapEx,
I-0196,Server Virtualization Software,Virtual machine management platform,25000,9/1/2025,Information Technology (IT),AI Software Development,Execution,VMware,FALSE,5,CapEx,
I-0197,Management Training Program,,11000,9/3/2025,Human Resources (HR),Employee Training Initiative,Execution,Management Excellence Institute,FALSE,1,OpEx,
I-0198,Social Media Campaign,Digital marketing across social platforms,13500,9/5/2025,Marketing,AI Software Development,Execution,Social Media Agency,FALSE,1,OpEx,
I-0199,Sales Forecasting Software,Predictive sales analytics tool,17000,9/8/2025,Sales,AI Software Development,Planning,Forecast Solutions,FALSE,3,CapEx,
I-0200,Office Renovation,Interior updates for downtown office,45000,9/10/2025,Operations,Downtown Office Tower,Execution,Office Renovation Specialists,FALSE,10,CapEx,
I-0201,Budget Planning Software,Financial planning and analysis tool,13000,9/12/2025,Finance/Accounting,AI Software Development,Planning,Budget Master,FALSE,4,CapEx,
I-0202,Network Monitoring System,IT infrastructure monitoring solution,19000,9/15/2025,Information Technology (IT),AI Software Development,Execution,SolarWinds,FALSE,4,CapEx,
I-0203,Employee Benefits Consultant,Benefits package optimization,9500,9/18/2025,Human Resources (HR),Downtown Office Tower,Planning,Benefits Consulting Group,FALSE,1,OpEx,
I-0204,Email Marketing Platform,Customer email campaign management,7800,9/20/2025,Marketing,AI Software Development,Ongoing Maintenance,Mailchimp,TRUE,1,OpEx,
I-0205,Sales Enablement Platform,Content and training for sales team,16000,9/22/2025,Sales,AI Software Development,Execution,Highspot,FALSE,3,CapEx,
I-0206,HVAC Remote Monitoring System,Remote system status and control,14000,9/25/2025,Operations,HVAC System Upgrade,Execution,Remote Monitoring Solutions,FALSE,8,CapEx,
I-0207,Contract Management Software,Legal document management system,12500,9/28/2025,Legal,AI Software Development,Execution,Contract Solutions,FALSE,4,CapEx,
I-0208,Customer Service Chatbot,AI-powered customer support assistant,23000,9/30/2025,Customer Service,AI Software Development,Execution,Chatbot Technologies,FALSE,3,CapEx,
I-0209,Roof Maintenance Services,Annual preventive maintenance,9800,10/2/2025,Operations,Annual Roof Inspection,Ongoing Maintenance,Roof Maintenance Specialists,TRUE,1,OpEx,
I-0210,Treasury Management System,Cash flow and liquidity management platform,28000,10/5/2025,Finance/Accounting,AI Software Development,Execution,Treasury Solutions,FALSE,5,CapEx,
I-0211,Data Backup System,Enterprise backup solution,32000,10/8/2025,Information Technology (IT),AI Software Development,Execution,Backup Systems Inc.,FALSE,5,CapEx,
I-0212,HR Analytics Software,Workforce analytics platform,15000,10/10/2025,Human Resources (HR),AI Software Development,Planning,People Analytics,FALSE,4,CapEx,
I-0213,Product Photography,Professional product images for marketing,8500,10/12/2025,Marketing,AI Software Development,Execution,Professional Photography Studio,FALSE,1,OpEx,
I-0214,Sales Territory Optimization,Geographic market analysis,11000,10/15/2025,Sales,Downtown Office Tower,Planning,Territory Optimization Group,FALSE,1,OpEx,
I-0215,Emergency Lighting System,Safety lighting for downtown office,18000,10/18/2025,Operations,Downtown Office Tower,Execution,Safety Lighting Solutions,FALSE,10,CapEx,
I-0216,Financial Compliance Software,Regulatory compliance management,21000,10/20/2025,Finance/Accounting,AI Software Development,Execution,Compliance Software Inc.,FALSE,4,CapEx,
I-0217,Video Conferencing System,Enterprise meeting solution,24000,10/22/2025,Information Technology (IT),Downtown Office Tower,Execution,Zoom Enterprise,FALSE,5,CapEx,
I-0218,Employee Learning Platform,Online training and development portal,17000,10/25/2025,Human Resources (HR),Employee Training Initiative,Execution,Learning Management Systems,FALSE,4,CapEx,
I-0219,Market Segmentation Analysis,Customer segmentation study,13500,10/28/2025,Marketing,AI Software Development,Planning,Market Segmentation Partners,FALSE,1,OpEx,
I-0220,Sales Incentive Software,Performance incentive management system,14000,10/30/2025,Sales,AI Software Development,Planning,Incentive Solutions,FALSE,3,CapEx,
I-0221,HVAC Air Quality Monitoring,Air quality sensors and monitoring system,9800,11/1/2025,Operations,HVAC System Upgrade,Execution,Air Quality Monitoring Inc.,FALSE,7,CapEx,
I-0222,Legal Document Management,Electronic document storage and retrieval,16000,11/3/2025,Legal,AI Software Development,Execution,Document Management Systems,FALSE,4,CapEx,
I-0223,Customer Experience Consulting,CX improvement strategies,12000,11/5/2025,Customer Service,Downtown Office Tower,Planning,CX Consulting Group,FALSE,1,OpEx,
I-0224,Roof Waterproofing System,Water damage prevention system,21000,11/8/2025,Operations,Annual Roof Inspection,Execution,Waterproofing Solutions,FALSE,10,CapEx,
I-0225,Expense Management Software,Employee expense tracking and reporting,13500,11/10/2025,Finance/Accounting,AI Software Development,Execution,Expensify,FALSE,4,CapEx,
I-0226,IT Infrastructure Assessment,System architecture evaluation,15000,11/12/2025,Information Technology (IT),AI Software Development,Planning,Infrastructure Assessment Group,FALSE,1,OpEx,
I-0227,Performance Management Software,Employee performance tracking system,18000,11/15/2025,Human Resources (HR),AI Software Development,Execution,Performance Management Solutions,FALSE,4,CapEx,
I-0228,Trade Show Participation,Industry convention exhibition fees,25000,11/18/2025,Marketing,Downtown Office Tower,Execution,Trade Show Organizers,FALSE,1,OpEx,
I-0229,Sales Coaching Program,Personalized sales team coaching,9500,11/20/2025,Sales,Employee Training Initiative,Execution,Sales Coaching Experts,FALSE,1,OpEx,
I-0230,Office Security System,Access control and surveillance,32000,11/22/2025,Operations,Downtown Office Tower,Execution,Security Solutions Inc.,FALSE,8,CapEx,
I-0231,Financial Planning Consultant,Strategic financial planning services,14000,11/25/2025,Finance/Accounting,Downtown Office Tower,Planning,Financial Planning Group,FALSE,1,OpEx,
I-0232,Enterprise Resource Planning System,Integrated business management software,85000,11/28/2025,Information Technology (IT),AI Software Development,Execution,SAP,FALSE,7,CapEx,
I-0233,Employee Assistance Program,Mental health and wellness support,8500,11/30/2025,Human Resources (HR),Employee Training Initiative,Ongoing Maintenance,EAP Services Inc.,TRUE,1,OpEx,
I-0234,Video Production Services,Marketing video creation,17000,12/2/2025,Marketing,AI Software Development,Execution,Video Production Studio,FALSE,2,CapEx,
I-0235,Sales Operations Software,Sales process automation tool,19000,12/5/2025,Sales,AI Software Development,Execution,Sales Operations Solutions,FALSE,4,CapEx,
I-0236,HVAC Humidity Control System,Humidity management components,12500,12/8/2025,Operations,HVAC System Upgrade,Execution,Humidity Control Systems,FALSE,10,CapEx,
I-0237,Intellectual Property Audit,IP portfolio assessment,9800,12/10/2025,Legal,AI Software Development,Planning,IP Audit Group,FALSE,1,OpEx,
I-0238,Customer Loyalty Program,Rewards program development and implementation,23000,12/12/2025,Customer Service,AI Software Development,Planning,Loyalty Program Solutions,FALSE,3,CapEx,
I-0239,Roof Access System,Safety equipment for roof maintenance,11000,12/15/2025,Operations,Annual Roof Inspection,Execution,Safety Access Systems,FALSE,10,CapEx,
I-0240,Accounts Payable Automation,Invoice processing automation,16000,12/18/2025,Finance/Accounting,AI Software Development,Execution,AP Automation Solutions,FALSE,4,CapEx,
I-0241,Disaster Recovery System,Business continuity solution,35000,12/20/2025,Information Technology (IT),AI Software Development,Execution,Disaster Recovery Inc.,FALSE,5,CapEx,
I-0242,Succession Planning Software,Leadership pipeline management tool,13500,12/22/2025,Human Resources (HR),AI Software Development,Planning,Succession Planning Solutions,FALSE,3,CapEx,
I-0243,Public Relations Services,Media relations and publicity,15000,12/25/2025,Marketing,Downtown Office Tower,Execution,PR Agency Partners,FALSE,1,OpEx,
I-0244,Sales Automation Platform,Sales process automation system,21000,12/28/2025,Sales,AI Software Development,Execution,Sales Automation Inc.,FALSE,4,CapEx,
I-0245,Building Management System,Integrated facility management platform,42000,12/30/2025,Operations,Downtown Office Tower,Execution,Building Management Solutions,FALSE,12,CapEx,
I-0246,Fraud Detection Software,Financial transaction monitoring system,19000,1/2/2025,Finance/Accounting,AI Software Development,Execution,Fraud Detection Systems,FALSE,4,CapEx,
I-0247,Mobile Device Management,Enterprise device security and management,14000,1/5/2025,Information Technology (IT),AI Software Development,Execution,MDM Solutions,FALSE,3,CapEx,
I-0248,Workplace Safety Training,,5800,1/8/2025,Human Resources (HR),Employee Training Initiative,Execution,Safety Training Institute,FALSE,1,OpEx,
I-0249,Customer Persona Development,Target audience analysis and persona creation,9500,1/10/2025,Marketing,AI Software Development,Planning,Persona Development Partners,FALSE,1,OpEx,
I-0250,Sales Performance Dashboard,Real-time sales metrics visualization,16000,1/12/2025,Sales,AI Software Development,Execution,Dashboard Technologies,FALSE,3,CapEx,
I-0251,HVAC Electrical System Upgrade,Power supply and control system upgrade,28000,1/15/2025,Operations,HVAC System Upgrade,Execution,Electrical Systems Inc.,FALSE,15,CapEx,
I-0252,Corporate Governance Consulting,Board and governance structure optimization,18000,1/18/2025,Legal,Downtown Office Tower,Planning,Governance Consulting Group,FALSE,1,OpEx,
I-0253,Customer Feedback Kiosks,In-store feedback collection devices,11000,1/20/2025,Customer Service,Downtown Office Tower,Execution,Feedback Kiosk Solutions,FALSE,5,CapEx,
I-0254,Roof Warranty Extension,Extended warranty for roof system,7500,1/22/2025,Operations,Annual Roof Inspection,Completion,Warranty Solutions,FALSE,1,OpEx,
I-0255,Financial Modeling Software,Advanced financial scenario planning tool,22000,1/25/2025,Finance/Accounting,AI Software Development,Execution,Financial Modeling Inc.,FALSE,4,CapEx,
I-0256,Identity Management System,User authentication and access control,26000,1/28/2025,Information Technology (IT),AI Software Development,Execution,Identity Management Solutions,FALSE,5,CapEx,
I-0257,Talent Management Software,Employee development and succession planning,18000,1/30/2025,Human Resources (HR),AI Software Development,Execution,Talent Management Inc.,FALSE,4,CapEx,
I-0258,Competitor Analysis Report,Competitive landscape evaluation,14000,2/1/2025,Marketing,Downtown Office Tower,Planning,Competitive Intelligence Group,FALSE,1,OpEx,
I-0259,Sales Lead Generation Service,Qualified lead acquisition service,9800,2/3/2025,Sales,Downtown Office Tower,Ongoing Maintenance,Lead Generation Partners,TRUE,1,OpEx,
I-0260,Elevator Maintenance Contract,Annual elevator servicing,12000,2/5/2025,Operations,Downtown Office Tower,Ongoing Maintenance,Elevator Maintenance Pro,TRUE,1,OpEx,
I-0261,Corporate Tax Software,Tax preparation and filing system,17000,2/8/2025,Finance/Accounting,AI Software Development,Execution,Tax Software Solutions,FALSE,4,CapEx,
I-0262,IT Training Program,Technical skills development for IT staff,8500,2/10/2025,Information Technology (IT),Employee Training Initiative,Execution,IT Training Institute,FALSE,1,OpEx,
I-0263,Employee Retention Program,Talent retention strategy implementation,13000,2/12/2025,Human Resources (HR),Employee Training Initiative,Planning,Retention Solutions Group,FALSE,1,OpEx,
I-0264,Server Hardware Upgrade,Enterprise-grade servers for data center,32500,1/10/2025,Information Technology (IT),AI Software Development,Execution,Dell Technologies,FALSE,5,CapEx,
I-0265,Office Furniture Purchase,Ergonomic workstations for downtown location,18900,1/15/2025,Operations,Downtown Office Tower,Planning,Office Depot,FALSE,7,CapEx,
I-0266,Cloud Services Subscription,AWS cloud hosting and storage,5500,1/20/2025,Information Technology (IT),AI Software Development,Ongoing Maintenance,Amazon Web Services,TRUE,1,OpEx,
I-0267,Legal Document Review,Contract review for new vendor agreements,4200,1/25/2025,Legal,Downtown Office Tower,Planning,Smith & Associates,FALSE,1,OpEx,
I-0268,Digital Marketing Campaign,Social media advertising campaign,9800,1/30/2025,Marketing,Downtown Office Tower,Execution,Digital Marketing Solutions,FALSE,1,OpEx,
I-0269,HVAC Main System Installation,Primary HVAC installation for building,48000,2/5/2025,Operations,HVAC System Upgrade,Execution,Cool Air Systems,FALSE,15,CapEx,
I-0270,Leadership Training Program,Executive leadership development,7500,2/10/2025,Human Resources (HR),Employee Training Initiative,Execution,Leadership Academy,FALSE,1,OpEx,
I-0271,Software License Renewal,Annual enterprise software licenses,12000,2/15/2025,Information Technology (IT),AI Software Development,Ongoing Maintenance,Microsoft,TRUE,1,OpEx,
I-0272,Roof Inspection Services,Annual structural inspection of roof,3800,2/20/2025,Operations,Annual Roof Inspection,Execution,SafetyFirst Inspections,FALSE,1,OpEx,
I-0273,Financial Audit Services,Annual financial compliance audit,14500,2/25/2025,Finance/Accounting,Downtown Office Tower,Execution,Deloitte,TRUE,1,OpEx,
I-0274,Network Infrastructure Upgrade,Network switches and routers replacement,29000,3/1/2025,Information Technology (IT),AI Software Development,Execution,Cisco Systems,FALSE,6,CapEx,
I-0275,Recruitment Platform Subscription,Talent acquisition software,9500,3/5/2025,Human Resources (HR),Employee Training Initiative,Ongoing Maintenance,Workday,TRUE,1,OpEx,
I-0276,Market Research Study,Customer preference analysis,16500,3/10/2025,Marketing,Downtown Office Tower,Planning,Nielsen Research,FALSE,1,OpEx,
I-0277,CRM System Implementation,Customer relationship management platform,38000,3/15/2025,Sales,AI Software Development,Execution,Salesforce,FALSE,5,CapEx,
I-0278,Office Supplies,General office materials and supplies,2500,3/20/2025,Operations,Downtown Office Tower,Ongoing Maintenance,Staples,TRUE,1,OpEx,
I-0279,HVAC Smart Control System,Intelligent thermostat and monitoring system,15800,3/25/2025,Operations,HVAC System Upgrade,Execution,Honeywell,FALSE,10,CapEx,
I-0280,Customer Service Training,Customer experience improvement training,6200,3/30/2025,Customer Service,Employee Training Initiative,Execution,Customer Experience Institute,FALSE,1,OpEx,
I-0281,Construction Safety Equipment,Safety gear for construction site,4500,4/5/2025,Operations,Downtown Office Tower,Execution,Safety Supply Co.,FALSE,3,CapEx,
I-0282,R&D Software Licenses,Specialized research software,22000,4/10/2025,Research and Development (R&D),AI Software Development,Execution,Autodesk,FALSE,3,CapEx,
I-0283,Legal Database Subscription,Legal research and case management,8500,4/15/2025,Legal,Downtown Office Tower,Ongoing Maintenance,LexisNexis,TRUE,1,OpEx,
I-0284,Trade Show Booth Design,Custom exhibition display for industry event,10500,4/20/2025,Marketing,Downtown Office Tower,Planning,Exhibition Design Group,FALSE,3,CapEx,
I-0285,Sales Training Program,Sales methodology and skills development,7800,4/25/2025,Sales,Employee Training Initiative,Execution,Sales Excellence Group,FALSE,1,OpEx,
I-0286,Server Room Cooling System,Dedicated cooling for data center,32000,4/30/2025,Information Technology (IT),HVAC System Upgrade,Execution,Cooling Technologies Inc.,FALSE,10,CapEx,
I-0287,HR Management Software,Employee management system upgrade,16000,5/5/2025,Human Resources (HR),AI Software Development,Execution,ADP,FALSE,5,CapEx,
I-0288,Roof Repair Services,Repair of damaged roof sections,9500,5/10/2025,Operations,Annual Roof Inspection,Execution,RoofCare Experts,FALSE,5,CapEx,
I-0289,Financial Planning Software,Budgeting and forecasting tools,7500,5/15/2025,Finance/Accounting,AI Software Development,Ongoing Maintenance,Oracle,TRUE,1,OpEx,
I-0290,Computer Hardware Refresh,Workstation upgrades for employees,14000,5/20/2025,Information Technology (IT),Downtown Office Tower,Execution,HP Inc.,FALSE,4,CapEx,
I-0291,Project Management Training,Project methodology certification,5500,5/25/2025,Operations,Employee Training Initiative,Execution,Project Management Institute,FALSE,1,OpEx,
I-0292,Content Marketing Campaign,Blog and social media content creation,12500,5/30/2025,Marketing,AI Software Development,Execution,Content Marketing Agency,FALSE,1,OpEx,
I-0293,Sales Analytics Platform,Sales performance tracking software,18000,6/5/2025,Sales,AI Software Development,Planning,Tableau,FALSE,3,CapEx,
I-0294,HVAC Air Filtration System,Advanced air purification components,11500,6/10/2025,Operations,HVAC System Upgrade,Execution,Pure Air Solutions,FALSE,8,CapEx,
I-0295,Benefits Administration Service,Employee benefits management,8500,6/15/2025,Human Resources (HR),AI Software Development,Ongoing Maintenance,Zenefits,TRUE,1,OpEx,
I-0296,Mobile App Development,Customer-facing application development,52000,6/20/2025,Information Technology (IT),AI Software Development,Execution,AppDev Partners,FALSE,3,CapEx,
I-0297,Building Security System,Access control and surveillance installation,42000,6/25/2025,Operations,Downtown Office Tower,Execution,Security Systems Inc.,FALSE,7,CapEx,
I-0298,Business Insurance Premium,Annual liability insurance coverage,26000,6/30/2025,Finance/Accounting,Downtown Office Tower,Ongoing Maintenance,Travelers Insurance,TRUE,1,OpEx,
I-0299,Trademark Registration,Legal protection for new products,6500,7/5/2025,Legal,AI Software Development,Planning,IP Law Group,FALSE,1,OpEx,
I-0300,Customer Support Software,Help desk and ticket management system,21000,7/10/2025,Customer Service,AI Software Development,Execution,Zendesk,FALSE,4,CapEx,
I-0301,HVAC Ductwork Installation,Ventilation system for office building,36000,7/15/2025,Operations,HVAC System Upgrade,Execution,Airflow Systems,FALSE,20,CapEx,
I-0302,Data Science Training,Advanced analytics training for staff,7500,7/20/2025,Research and Development (R&D),Employee Training Initiative,Execution,Data Science Academy,FALSE,1,OpEx,
I-0303,Website Redesign Project,Company website overhaul,32000,7/25/2025,Marketing,AI Software Development,Execution,Digital Design Agency,FALSE,3,CapEx,
I-0304,Sales Territory Mapping Tool,Geographic sales analysis software,9800,7/30/2025,Sales,AI Software Development,Planning,Esri,FALSE,3,CapEx,
I-0305,Roof Weatherproofing Treatment,Protective coating application,14500,8/5/2025,Operations,Annual Roof Inspection,Completion,Weather Shield Inc.,FALSE,5,CapEx,
I-0306,Tax Preparation Services,Annual tax filing assistance,10500,8/10/2025,Finance/Accounting,Downtown Office Tower,Completion,Ernst & Young,TRUE,1,OpEx,
I-0307,Cybersecurity Assessment,Network security audit and testing,8800,8/15/2025,Information Technology (IT),AI Software Development,Execution,Cybersecurity Partners,FALSE,1,OpEx,
I-0308,Employee Recognition Program,Annual employee awards event,6000,8/20/2025,Human Resources (HR),Employee Training Initiative,Execution,Recognition Solutions,TRUE,1,OpEx,
I-0309,Business Process Consulting,Efficiency improvement consultation,21000,8/25/2025,Operations,Downtown Office Tower,Planning,McKinsey & Company,FALSE,1,OpEx,
I-0310,Machine Learning Model Development,Custom AI algorithm development,58000,8/30/2025,Research and Development (R&D),AI Software Development,Execution,AI Innovations LLC,FALSE,3,CapEx,
I-0311,Legal Contract Templates,Standardized legal document development,5500,9/5/2025,Legal,Downtown Office Tower,Planning,Legal Templates Inc.,FALSE,2,CapEx,
I-0312,Customer Feedback Platform,Customer satisfaction measurement system,7200,9/10/2025,Customer Service,AI Software Development,Ongoing Maintenance,SurveyMonkey,TRUE,1,OpEx,
I-0313,HVAC Energy Efficiency Upgrade,High-efficiency components installation,28000,9/15/2025,Operations,HVAC System Upgrade,Execution,EnergyWise Solutions,FALSE,10,CapEx,
I-0314,Management Development Program,Leadership skills for middle management,13500,9/20/2025,Human Resources (HR),Employee Training Initiative,Execution,Executive Coaching Group,FALSE,1,OpEx,
I-0315,Research Equipment Purchase,Specialized testing equipment,18000,9/25/2025,Research and Development (R&D),AI Software Development,Execution,Research Equipment Inc.,FALSE,5,CapEx,
I-0316,Search Engine Optimization,Website SEO improvement services,9500,9/30/2025,Marketing,AI Software Development,Execution,SEO Experts Inc.,FALSE,1,OpEx,
I-0317,Sales Presentation Equipment,Projectors and display screens,8500,10/5/2025,Sales,Downtown Office Tower,Execution,Epson,FALSE,4,CapEx,
I-0318,Roof Drainage System Upgrade,Improved water management system,21000,10/10/2025,Operations,Annual Roof Inspection,Execution,Drainage Solutions,FALSE,15,CapEx,
I-0319,Financial Analytics Software,Advanced financial analysis tools,15000,10/15/2025,Finance/Accounting,AI Software Development,Execution,Adaptive Insights,FALSE,4,CapEx,
I-0320,Data Center Expansion,Server capacity increase,75000,10/20/2025,Information Technology (IT),Downtown Office Tower,Execution,DataCenter Solutions,FALSE,8,CapEx,
I-0321,Employee Wellness Program,Health and wellness initiative,10500,10/25/2025,Human Resources (HR),Employee Training Initiative,Ongoing Maintenance,Wellness Works,TRUE,1,OpEx,
I-0322,Product Packaging Design,New product packaging development,12500,10/30/2025,Marketing,AI Software Development,Planning,Design Partners LLC,FALSE,2,CapEx,
I-0323,CRM Integration Services,Custom system integration work,19000,11/5/2025,Sales,AI Software Development,Execution,Integration Specialists,FALSE,3,CapEx,
I-0324,HVAC Maintenance Contract,Annual system maintenance service,9800,11/10/2025,Operations,HVAC System Upgrade,Ongoing Maintenance,HVAC Maintenance Pro,TRUE,1,OpEx,
I-0325,Compliance Training Program,Regulatory compliance education,6500,11/15/2025,Legal,Employee Training Initiative,Execution,Compliance Training Inc.,FALSE,1,OpEx,
I-0326,Call Center Equipment,Customer service hardware and headsets,10500,11/20/2025,Customer Service,Downtown Office Tower,Execution,Call Center Solutions,FALSE,4,CapEx,
I-0327,Structural Assessment,Building integrity evaluation,13500,11/25/2025,Operations,Annual Roof Inspection,Planning,Structural Engineering Group,FALSE,1,OpEx,
I-0328,Accounting Software Upgrade,Financial reporting module enhancement,18000,11/30/2025,Finance/Accounting,AI Software Development,Execution,Intuit,FALSE,4,CapEx,
I-0329,Cloud Infrastructure Expansion,Additional cloud computing resources,8500,12/5/2025,Information Technology (IT),AI Software Development,Execution,Microsoft Azure,FALSE,2,CapEx,
I-0330,Recruitment Automation System,Applicant tracking and hiring platform,16000,12/10/2025,Human Resources (HR),AI Software Development,Planning,Recruitment Solutions,FALSE,4,CapEx,
I-0331,Market Analysis Research,Industry trends and competitive analysis,20000,12/15/2025,Marketing,Downtown Office Tower,Planning,Market Research Partners,FALSE,1,OpEx,
I-0332,Sales Commission Software,Commission calculation and tracking system,14000,12/20/2025,Sales,AI Software Development,Execution,Commission Solutions,FALSE,3,CapEx,
I-0333,Fire Safety System Upgrade,Enhanced fire protection for building,38000,12/25/2025,Operations,Downtown Office Tower,Execution,Fire Safety Systems Inc.,FALSE,15,CapEx,
I-0334,Tax Advisory Services,Strategic tax planning consultation,12500,12/30/2025,Finance/Accounting,Downtown Office Tower,Planning,PwC,FALSE,1,OpEx,
I-0335,Database Management System,Enterprise database solution,48000,1/5/2025,Information Technology (IT),AI Software Development,Execution,Oracle,FALSE,5,CapEx,
I-0336,Diversity and Inclusion Training,Workplace diversity education program,8500,1/10/2025,Human Resources (HR),Employee Training Initiative,Execution,Diversity Partners,FALSE,1,OpEx,
I-0337,Multimedia Advertising Campaign,Integrated marketing across channels,34000,1/15/2025,Marketing,Downtown Office Tower,Execution,Media Buying Agency,FALSE,1,OpEx,
I-0338,Sales Training Materials,Custom training resources and videos,9500,1/20/2025,Sales,Employee Training Initiative,Planning,Training Materials Pro,FALSE,2,CapEx,
I-0339,HVAC Zoning System,Zone-based temperature control system,29000,1/25/2025,Operations,HVAC System Upgrade,Execution,Climate Control Solutions,FALSE,12,CapEx,
I-0340,Legal Research Services,Industry-specific legal research,7500,1/30/2025,Legal,AI Software Development,Planning,Legal Research Group,FALSE,1,OpEx,
I-0341,Customer Service Training,Customer relationship management training,6000,2/5/2025,Customer Service,Employee Training Initiative,Execution,Customer Excellence Institute,FALSE,1,OpEx,
I-0342,Roof Ventilation System,Improved air flow system for building,17500,2/10/2025,Operations,Annual Roof Inspection,Execution,Ventilation Experts,FALSE,15,CapEx,
I-0343,Financial Consulting Services,GAAP compliance consulting,11000,2/15/2025,Finance/Accounting,Downtown Office Tower,Planning,Financial Reporting Specialists,FALSE,1,OpEx,
I-0344,Network Security Software,Advanced threat protection system,25000,2/20/2025,Information Technology (IT),AI Software Development,Execution,Palo Alto Networks,FALSE,3,CapEx,
I-0345,Employee Engagement Survey,Workplace satisfaction assessment,8000,2/25/2025,Human Resources (HR),Employee Training Initiative,Planning,Engagement Analytics,TRUE,1,OpEx,
I-0346,Brand Identity Refresh,Company branding update,22000,3/1/2025,Marketing,Downtown Office Tower,Planning,Brand Identity Partners,FALSE,3,CapEx,
I-0347,Sales Performance Dashboard,Sales metrics visualization tool,15000,3/5/2025,Sales,AI Software Development,Execution,Dashboard Solutions,FALSE,3,CapEx,
I-0348,Building Insulation Upgrade,Energy-efficient insulation installation,32000,3/10/2025,Operations,Downtown Office Tower,Execution,Insulation Pros,FALSE,15,CapEx,
I-0349,Risk Assessment Services,Financial risk evaluation,16000,3/15/2025,Finance/Accounting,Downtown Office Tower,Planning,Risk Management Associates,TRUE,1,OpEx,
I-0350,IT Support Software,Help desk ticket management system,18000,3/20/2025,Information Technology (IT),AI Software Development,Execution,ServiceNow,FALSE,4,CapEx,
I-0351,Compensation Analysis Study,Market salary comparison research,9800,3/25/2025,Human Resources (HR),Downtown Office Tower,Planning,Compensation Consultants,FALSE,1,OpEx,
I-0352,Content Management System,Website content management platform,24000,3/30/2025,Marketing,AI Software Development,Execution,WordPress Enterprise,FALSE,4,CapEx,
I-0353,Sales Pipeline Software,Opportunity tracking and forecasting tool,17000,4/5/2025,Sales,AI Software Development,Planning,Pipeline Analytics,FALSE,3,CapEx,
I-0354,HVAC Performance Optimization,System efficiency tuning service,10500,4/10/2025,Operations,HVAC System Upgrade,Completion,Performance Optimization Inc.,FALSE,1,OpEx,
I-0355,Patent Application Filing,Intellectual property protection,13500,4/15/2025,Legal,AI Software Development,Planning,Patent Law Group,FALSE,1,OpEx,
I-0356,Customer Feedback Analysis,Survey results data analysis,8800,4/20/2025,Customer Service,AI Software Development,Planning,Feedback Analytics,FALSE,1,OpEx,
I-0357,Roof Inspection Equipment,Specialized inspection tools,7500,4/25/2025,Operations,Annual Roof Inspection,Planning,Inspection Equipment Inc.,FALSE,3,CapEx,
I-0358,Audit Management Software,Compliance and risk management tool,20000,4/30/2025,Finance/Accounting,AI Software Development,Execution,Audit Software Inc.,FALSE,4,CapEx,
